Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'CS182-final-project'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# each encryption key has 1024 plaintext/ciphertext pairs
# 256 batch size * 2048 block size * 1 gradient_accumulation_steps = 524,288
batch_size = 256
block_size = 2048
gradient_accumulation_steps = 1

# this makes total number of tokens be ~21M, with ~10M input/output pairs
max_iters = 1000
lr_decay_iters = 1000

# eval stuff
eval_interval = 100
eval_iters = 50
log_interval = 1

# weight decay
weight_decay = 1e-1

Overriding: wandb_log = False
Overriding: wandb_run_name = lr-1e-1
Overriding: learning_rate = 0.1
tokens per iteration will be: 524,288
Using vocab size of 28 (a-z + separators)
/pscratch/sd/a/adityat/CS182-project/train.py:259: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Initializing a new model from scratch
number of parameters: 6.30M
num decayed parameter tensors: 34, with 6,822,912 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 2.1790, val loss 2.1790
iter 0: loss 2.1794, time 63643.20ms, mfu -100.00%
iter 1: loss 1.5279, time 301.61ms, mfu -100.00%
iter 2: loss 0.9142, time 537.13ms, mfu -100.00%
iter 3: loss 0.5441, time 537.12ms, mfu -100.00%
iter 4: loss 0.3586, time 533.31ms, mfu -100.00%
iter 5: loss 0.2543, time 539.67ms, mfu 27.45%
iter 6: loss 0.1936, time 531.88ms, mfu 27.49%
iter 7: loss 0.1570, time 535.61ms, mfu 27.50%
iter 8: loss 0.1356, time 535.38ms, mfu 27.52%
iter 9: loss 0.1195, time 535.29ms, mfu 27.54%
iter 10: loss 0.1055, time 540.11ms, mfu 27.53%
iter 11: loss 0.0929, time 531.62ms, mfu 27.56%
iter 12: loss 0.0816, time 529.77ms, mfu 27.60%
iter 13: loss 0.0707, time 536.67ms, mfu 27.60%
iter 14: loss 0.0611, time 532.87ms, mfu 27.62%
iter 15: loss 0.0526, time 532.81ms, mfu 27.64%
iter 16: loss 0.0452, time 539.87ms, mfu 27.62%
iter 17: loss 0.0387, time 535.56ms, mfu 27.62%
iter 18: loss 0.0330, time 540.51ms, mfu 27.60%
iter 19: loss 0.0283, time 538.06ms, mfu 27.59%
iter 20: loss 0.0243, time 532.52ms, mfu 27.62%
iter 21: loss 0.0208, time 535.37ms, mfu 27.62%
iter 22: loss 0.0180, time 533.49ms, mfu 27.64%
iter 23: loss 0.0154, time 537.58ms, mfu 27.63%
iter 24: loss 0.0137, time 535.32ms, mfu 27.63%
iter 25: loss 0.0119, time 540.07ms, mfu 27.61%
iter 26: loss 0.0106, time 542.64ms, mfu 27.58%
iter 27: loss 0.0093, time 534.11ms, mfu 27.59%
iter 28: loss 0.0085, time 537.88ms, mfu 27.59%
iter 29: loss 0.0077, time 532.58ms, mfu 27.61%
iter 30: loss 0.0072, time 534.13ms, mfu 27.62%
iter 31: loss 0.0065, time 530.56ms, mfu 27.65%
iter 32: loss 0.0061, time 536.93ms, mfu 27.65%
iter 33: loss 0.0055, time 537.22ms, mfu 27.64%
iter 34: loss 0.0052, time 537.35ms, mfu 27.63%
iter 35: loss 0.0048, time 534.84ms, mfu 27.64%
iter 36: loss 0.0046, time 531.30ms, mfu 27.66%
iter 37: loss 0.0045, time 541.28ms, mfu 27.63%
iter 38: loss 0.0044, time 536.17ms, mfu 27.63%
iter 39: loss 0.0043, time 544.51ms, mfu 27.59%
iter 40: loss 0.0041, time 536.63ms, mfu 27.59%
iter 41: loss 0.0040, time 540.62ms, mfu 27.57%
iter 42: loss 0.0038, time 597.66ms, mfu 27.29%
iter 43: loss 0.0038, time 553.13ms, mfu 27.24%
iter 44: loss 0.0038, time 539.57ms, mfu 27.26%
iter 45: loss 0.0036, time 545.68ms, mfu 27.25%
iter 46: loss 0.0035, time 531.59ms, mfu 27.31%
iter 47: loss 0.0036, time 532.10ms, mfu 27.37%
iter 48: loss 0.0035, time 540.00ms, mfu 27.37%
iter 49: loss 0.0034, time 538.01ms, mfu 27.39%
iter 50: loss 0.0034, time 536.47ms, mfu 27.41%
iter 51: loss 0.0033, time 529.91ms, mfu 27.46%
iter 52: loss 0.0034, time 533.07ms, mfu 27.50%
iter 53: loss 0.0033, time 537.38ms, mfu 27.50%
iter 54: loss 0.0033, time 538.59ms, mfu 27.50%
iter 55: loss 0.0032, time 537.35ms, mfu 27.51%
iter 56: loss 0.0034, time 535.07ms, mfu 27.53%
iter 57: loss 0.0033, time 532.97ms, mfu 27.55%
iter 58: loss 0.0032, time 533.51ms, mfu 27.57%
iter 59: loss 0.0032, time 534.11ms, mfu 27.59%
iter 60: loss 0.0033, time 531.32ms, mfu 27.62%
iter 61: loss 0.0032, time 537.32ms, mfu 27.61%
iter 62: loss 0.0031, time 531.21ms, mfu 27.64%
iter 63: loss 0.0031, time 533.19ms, mfu 27.66%
iter 64: loss 0.0031, time 537.42ms, mfu 27.65%
iter 65: loss 0.0033, time 532.21ms, mfu 27.66%
iter 66: loss 0.0031, time 533.68ms, mfu 27.67%
iter 67: loss 0.0031, time 541.19ms, mfu 27.64%
iter 68: loss 0.0032, time 537.67ms, mfu 27.63%
iter 69: loss 0.0032, time 534.62ms, mfu 27.64%
iter 70: loss 0.0032, time 530.92ms, mfu 27.67%
iter 71: loss 0.0030, time 543.10ms, mfu 27.63%
iter 72: loss 0.0032, time 536.87ms, mfu 27.62%
iter 73: loss 0.0031, time 536.04ms, mfu 27.63%
iter 74: loss 0.0030, time 538.61ms, mfu 27.61%
iter 75: loss 0.0031, time 532.81ms, mfu 27.63%
iter 76: loss 0.0031, time 537.80ms, mfu 27.62%
iter 77: loss 0.0030, time 533.49ms, mfu 27.64%
iter 78: loss 0.0031, time 540.10ms, mfu 27.62%
iter 79: loss 0.0031, time 537.70ms, mfu 27.61%
iter 80: loss 0.0031, time 537.91ms, mfu 27.60%
iter 81: loss 0.0030, time 532.47ms, mfu 27.62%
iter 82: loss 0.0030, time 536.23ms, mfu 27.62%
iter 83: loss 0.0030, time 535.65ms, mfu 27.63%
iter 84: loss 0.0032, time 532.08ms, mfu 27.65%
iter 85: loss 0.0029, time 534.56ms, mfu 27.65%
